customer_id,signup_date,region,segment
C0001,2023-01-01,West,Consumer
C0002,2023-01-12,Northeast,Enterprise
C0003,2023-01-23,South,Small Business
C0004,2023-02-03,Midwest,Consumer
C0005,2023-02-14,West,Enterprise
C0006,2023-02-25,Northeast,Small Business
C0007,2023-03-08,South,Consumer
C0008,2023-03-19,Midwest,Enterprise
C0009,2023-03-30,West,Small Business
C0010,2023-04-10,Northeast,Consumer
C0011,2023-04-21,South,Enterprise
C0012,2023-05-02,Midwest,Small Business
C0013,2023-05-13,West,Consumer
C0014,2023-05-24,Northeast,Enterprise
C0015,2023-06-04,South,Small Business
C0016,2023-06-15,Midwest,Consumer
C0017,2023-06-26,West,Enterprise
C0018,2023-07-07,Northeast,Small Business
C0019,2023-07-18,South,Consumer
C0020,2023-07-29,Midwest,Enterprise
C0021,2023-08-09,West,Small Business
C0022,2023-08-20,Northeast,Consumer
C0023,2023-08-31,South,Enterprise
C0024,2023-09-11,Midwest,Small Business
C0025,2023-09-22,West,Consumer
C0026,2023-10-03,Northeast,Enterprise
C0027,2023-10-14,South,Small Business
C0028,2023-10-25,Midwest,Consumer
C0029,2023-11-05,West,Enterprise
C0030,2023-11-16,Northeast,Small Business
C0031,2023-11-27,South,Consumer
C0032,2023-12-08,Midwest,Enterprise
C0033,2023-12-19,West,Small Business
C0034,2023-12-30,Northeast,Consumer
C0035,2024-01-10,South,Enterprise
C0036,2024-01-21,Midwest,Small Business
C0037,2024-02-01,West,Consumer
C0038,2024-02-12,Northeast,Enterprise
C0039,2024-02-23,South,Small Business
C0040,2024-03-05,Midwest,Consumer
C0041,2024-03-16,West,Enterprise
C0042,2024-03-27,Northeast,Small Business
C0043,2024-04-07,South,Consumer
C0044,2024-04-18,Midwest,Enterprise
C0045,2024-04-29,West,Small Business
C0046,2024-05-10,Northeast,Consumer
C0047,2024-05-21,South,Enterprise
C0048,2024-06-01,Midwest,Small Business
C0049,2024-06-12,West,Consumer
C0050,2024-06-23,Northeast,Enterprise
C0051,2024-07-04,South,Small Business
C0052,2024-07-15,Midwest,Consumer
C0053,2024-07-26,West,Enterprise
C0054,2024-08-06,Northeast,Small Business
C0055,2024-08-17,South,Consumer
C0056,2024-08-28,Midwest,Enterprise
C0057,2024-09-08,West,Small Business
C0058,2024-09-19,Northeast,Consumer
C0059,2024-09-30,South,Enterprise
C0060,2024-10-11,Midwest,Small Business
C0061,2024-10-22,West,Consumer
C0062,2024-11-02,Northeast,Enterprise
C0063,2024-11-13,South,Small Business
C0064,2024-11-24,Midwest,Consumer
C0065,2023-01-05,West,Enterprise
C0066,2023-01-16,Northeast,Small Business
C0067,2023-01-27,South,Consumer
C0068,2023-02-07,Midwest,Enterprise
C0069,2023-02-18,West,Small Business
C0070,2023-03-01,Northeast,Consumer
C0071,2023-03-12,South,Enterprise
C0072,2023-03-23,Midwest,Small Business
C0073,2023-04-03,West,Consumer
C0074,2023-04-14,Northeast,Enterprise
C0075,2023-04-25,South,Small Business
C0076,2023-05-06,Midwest,Consumer
C0077,2023-05-17,West,Enterprise
C0078,2023-05-28,Northeast,Small Business
C0079,2023-06-08,South,Consumer
C0080,2023-06-19,Midwest,Enterprise
C0081,2023-06-30,West,Small Business
C0082,2023-07-11,Northeast,Consumer
C0083,2023-07-22,South,Enterprise
C0084,2023-08-02,Midwest,Small Business
C0085,2023-08-13,West,Consumer
C0086,2023-08-24,Northeast,Enterprise
C0087,2023-09-04,South,Small Business
C0088,2023-09-15,Midwest,Consumer
C0089,2023-09-26,West,Enterprise
C0090,2023-10-07,Northeast,Small Business
C0091,2023-10-18,South,Consumer
C0092,2023-10-29,Midwest,Enterprise
C0093,2023-11-09,West,Small Business
C0094,2023-11-20,Northeast,Consumer
C0095,2023-12-01,South,Enterprise
C0096,2023-12-12,Midwest,Small Business
C0097,2023-12-23,West,Consumer
C0098,2024-01-03,Northeast,Enterprise
C0099,2024-01-14,South,Small Business
C0100,2024-01-25,Midwest,Consumer
C0101,2024-02-05,West,Enterprise
C0102,2024-02-16,Northeast,Small Business
C0103,2024-02-27,South,Consumer
C0104,2024-03-09,Midwest,Enterprise
C0105,2024-03-20,West,Small Business
C0106,2024-03-31,Northeast,Consumer
C0107,2024-04-11,South,Enterprise
C0108,2024-04-22,Midwest,Small Business
C0109,2024-05-03,West,Consumer
C0110,2024-05-14,Northeast,Enterprise
C0111,2024-05-25,South,Small Business
C0112,2024-06-05,Midwest,Consumer
C0113,2024-06-16,West,Enterprise
C0114,2024-06-27,Northeast,Small Business
C0115,2024-07-08,South,Consumer
C0116,2024-07-19,Midwest,Enterprise
C0117,2024-07-30,West,Small Business
C0118,2024-08-10,Northeast,Consumer
