order_id,customer_id,order_date,channel,revenue,quantity,region
O00001,C0001,2025-06-01,Organic Search,83.25,1,West
O00002,C0018,2025-06-01,Organic Search,269.18,3,Northeast
O00003,C0035,2025-06-01,Organic Search,192.40,2,South
O00004,C0065,2025-06-01,Paid Search,97.20,1,West
O00005,C0082,2025-06-01,Paid Search,314.28,3,Northeast
O00006,C0099,2025-06-01,Paid Search,224.64,2,South
O00007,C0129,2025-06-01,Direct,75.60,1,West
O00008,C0146,2025-06-01,Direct,244.44,3,Northeast
O00009,C0176,2025-06-01,Referral,308.88,3,Midwest
O00010,C0206,2025-06-01,Email,104.40,1,Northeast
O00011,C0236,2025-06-01,Organic Social,147.44,2,Midwest
O00012,C0253,2025-06-01,Organic Social,79.04,1,West
O00013,C0205,2025-06-02,Organic Search,83.25,1,West
O00014,C0222,2025-06-02,Organic Search,269.18,3,Northeast
O00015,C0239,2025-06-02,Organic Search,192.40,2,South
O00016,C0269,2025-06-02,Paid Search,97.20,1,West
O00017,C0286,2025-06-02,Paid Search,314.28,3,Northeast
O00018,C0303,2025-06-02,Paid Search,224.64,2,South
O00019,C0013,2025-06-02,Direct,75.60,1,West
O00020,C0030,2025-06-02,Direct,244.44,3,Northeast
O00021,C0060,2025-06-02,Referral,308.88,3,Midwest
O00022,C0090,2025-06-02,Email,104.40,1,Northeast
O00023,C0120,2025-06-02,Organic Social,147.44,2,Midwest
O00024,C0137,2025-06-02,Organic Social,79.04,1,West
O00025,C0089,2025-06-03,Organic Search,83.25,1,West
O00026,C0106,2025-06-03,Organic Search,269.18,3,Northeast
O00027,C0123,2025-06-03,Organic Search,192.40,2,South
O00028,C0153,2025-06-03,Paid Search,97.20,1,West
O00029,C0170,2025-06-03,Paid Search,314.28,3,Northeast
O00030,C0187,2025-06-03,Paid Search,224.64,2,South
O00031,C0217,2025-06-03,Direct,75.60,1,West
O00032,C0234,2025-06-03,Direct,244.44,3,Northeast
O00033,C0264,2025-06-03,Referral,308.88,3,Midwest
O00034,C0294,2025-06-03,Email,104.40,1,Northeast
O00035,C0004,2025-06-03,Organic Social,147.44,2,Midwest
O00036,C0021,2025-06-03,Organic Social,79.04,1,West
O00037,C0293,2025-06-04,Organic Search,83.25,1,West
O00038,C0310,2025-06-04,Organic Search,269.18,3,Northeast
O00039,C0007,2025-06-04,Organic Search,192.40,2,South
O00040,C0037,2025-06-04,Paid Search,97.20,1,West
O00041,C0054,2025-06-04,Paid Search,314.28,3,Northeast
O00042,C0071,2025-06-04,Paid Search,224.64,2,South
O00043,C0101,2025-06-04,Direct,75.60,1,West
O00044,C0118,2025-06-04,Direct,244.44,3,Northeast
O00045,C0148,2025-06-04,Referral,308.88,3,Midwest
O00046,C0178,2025-06-04,Email,104.40,1,Northeast
O00047,C0208,2025-06-04,Organic Social,147.44,2,Midwest
O00048,C0225,2025-06-04,Organic Social,79.04,1,West
O00049,C0177,2025-06-05,Organic Search,83.25,1,West
O00050,C0194,2025-06-05,Organic Search,269.18,3,Northeast
O00051,C0211,2025-06-05,Organic Search,192.40,2,South
O00052,C0241,2025-06-05,Paid Search,97.20,1,West
O00053,C0258,2025-06-05,Paid Search,314.28,3,Northeast
O00054,C0275,2025-06-05,Paid Search,224.64,2,South
O00055,C0305,2025-06-05,Direct,75.60,1,West
O00056,C0002,2025-06-05,Direct,244.44,3,Northeast
O00057,C0032,2025-06-05,Referral,308.88,3,Midwest
O00058,C0062,2025-06-05,Email,104.40,1,Northeast
O00059,C0092,2025-06-05,Organic Social,147.44,2,Midwest
O00060,C0109,2025-06-05,Organic Social,79.04,1,West
O00061,C0061,2025-06-06,Organic Search,83.25,1,West
O00062,C0078,2025-06-06,Organic Search,269.18,3,Northeast
O00063,C0095,2025-06-06,Organic Search,192.40,2,South
O00064,C0125,2025-06-06,Paid Search,97.20,1,West
O00065,C0142,2025-06-06,Paid Search,314.28,3,Northeast
O00066,C0159,2025-06-06,Paid Search,224.64,2,South
O00067,C0189,2025-06-06,Direct,75.60,1,West
O00068,C0206,2025-06-06,Direct,244.44,3,Northeast
O00069,C0236,2025-06-06,Referral,308.88,3,Midwest
O00070,C0266,2025-06-06,Email,104.40,1,Northeast
O00071,C0296,2025-06-06,Organic Social,147.44,2,Midwest
O00072,C0313,2025-06-06,Organic Social,79.04,1,West
O00073,C0265,2025-06-07,Organic Search,83.25,1,West
O00074,C0282,2025-06-07,Organic Search,269.18,3,Northeast
O00075,C0299,2025-06-07,Organic Search,192.40,2,South
O00076,C0009,2025-06-07,Paid Search,97.20,1,West
O00077,C0026,2025-06-07,Paid Search,314.28,3,Northeast
O00078,C0043,2025-06-07,Paid Search,224.64,2,South
O00079,C0073,2025-06-07,Direct,75.60,1,West
O00080,C0090,2025-06-07,Direct,244.44,3,Northeast
O00081,C0120,2025-06-07,Referral,308.88,3,Midwest
O00082,C0150,2025-06-07,Email,104.40,1,Northeast
O00083,C0180,2025-06-07,Organic Social,147.44,2,Midwest
O00084,C0197,2025-06-07,Organic Social,79.04,1,West
O00085,C0149,2025-06-08,Organic Search,83.25,1,West
O00086,C0166,2025-06-08,Organic Search,269.18,3,Northeast
O00087,C0183,2025-06-08,Organic Search,192.40,2,South
O00088,C0213,2025-06-08,Paid Search,97.20,1,West
O00089,C0230,2025-06-08,Paid Search,314.28,3,Northeast
O00090,C0247,2025-06-08,Paid Search,224.64,2,South
O00091,C0277,2025-06-08,Direct,75.60,1,West
O00092,C0294,2025-06-08,Direct,244.44,3,Northeast
O00093,C0004,2025-06-08,Referral,308.88,3,Midwest
O00094,C0034,2025-06-08,Email,104.40,1,Northeast
O00095,C0064,2025-06-08,Organic Social,147.44,2,Midwest
O00096,C0081,2025-06-08,Organic Social,79.04,1,West
O00097,C0033,2025-06-09,Organic Search,83.25,1,West
O00098,C0050,2025-06-09,Organic Search,269.18,3,Northeast
O00099,C0067,2025-06-09,Organic Search,192.40,2,South
O00100,C0097,2025-06-09,Paid Search,97.20,1,West
O00101,C0114,2025-06-09,Paid Search,314.28,3,Northeast
O00102,C0131,2025-06-09,Paid Search,224.64,2,South
O00103,C0161,2025-06-09,Direct,75.60,1,West
O00104,C0178,2025-06-09,Direct,244.44,3,Northeast
O00105,C0208,2025-06-09,Referral,308.88,3,Midwest
O00106,C0238,2025-06-09,Email,104.40,1,Northeast
O00107,C0268,2025-06-09,Organic Social,147.44,2,Midwest
O00108,C0285,2025-06-09,Organic Social,79.04,1,West
O00109,C0237,2025-06-10,Organic Search,83.25,1,West
O00110,C0254,2025-06-10,Organic Search,269.18,3,Northeast
O00111,C0271,2025-06-10,Organic Search,192.40,2,South
O00112,C0301,2025-06-10,Paid Search,97.20,1,West
O00113,C0318,2025-06-10,Paid Search,314.28,3,Northeast
O00114,C0015,2025-06-10,Paid Search,224.64,2,South
O00115,C0045,2025-06-10,Direct,75.60,1,West
O00116,C0062,2025-06-10,Direct,244.44,3,Northeast
O00117,C0092,2025-06-10,Referral,308.88,3,Midwest
O00118,C0122,2025-06-10,Email,104.40,1,Northeast
O00119,C0152,2025-06-10,Organic Social,147.44,2,Midwest
O00120,C0169,2025-06-10,Organic Social,79.04,1,West
O00121,C0121,2025-06-11,Organic Search,83.25,1,West
O00122,C0138,2025-06-11,Organic Search,269.18,3,Northeast
O00123,C0155,2025-06-11,Organic Search,192.40,2,South
O00124,C0185,2025-06-11,Paid Search,97.20,1,West
O00125,C0202,2025-06-11,Paid Search,314.28,3,Northeast
O00126,C0219,2025-06-11,Paid Search,224.64,2,South
O00127,C0249,2025-06-11,Direct,75.60,1,West
O00128,C0266,2025-06-11,Direct,244.44,3,Northeast
O00129,C0296,2025-06-11,Referral,308.88,3,Midwest
O00130,C0006,2025-06-11,Email,104.40,1,Northeast
O00131,C0036,2025-06-11,Organic Social,147.44,2,Midwest
O00132,C0053,2025-06-11,Organic Social,79.04,1,West
O00133,C0005,2025-06-12,Organic Search,83.25,1,West
O00134,C0022,2025-06-12,Organic Search,269.18,3,Northeast
O00135,C0039,2025-06-12,Organic Search,192.40,2,South
O00136,C0069,2025-06-12,Paid Search,97.20,1,West
O00137,C0086,2025-06-12,Paid Search,314.28,3,Northeast
O00138,C0103,2025-06-12,Paid Search,224.64,2,South
O00139,C0133,2025-06-12,Direct,75.60,1,West
O00140,C0150,2025-06-12,Direct,244.44,3,Northeast
O00141,C0180,2025-06-12,Referral,308.88,3,Midwest
O00142,C0210,2025-06-12,Email,104.40,1,Northeast
O00143,C0240,2025-06-12,Organic Social,147.44,2,Midwest
O00144,C0257,2025-06-12,Organic Social,79.04,1,West
O00145,C0209,2025-06-13,Organic Search,83.25,1,West
O00146,C0226,2025-06-13,Organic Search,269.18,3,Northeast
O00147,C0243,2025-06-13,Organic Search,192.40,2,South
O00148,C0273,2025-06-13,Paid Search,97.20,1,West
O00149,C0290,2025-06-13,Paid Search,314.28,3,Northeast
O00150,C0307,2025-06-13,Paid Search,224.64,2,South
O00151,C0017,2025-06-13,Direct,75.60,1,West
O00152,C0034,2025-06-13,Direct,244.44,3,Northeast
O00153,C0064,2025-06-13,Referral,308.88,3,Midwest
O00154,C0094,2025-06-13,Email,104.40,1,Northeast
O00155,C0124,2025-06-13,Organic Social,147.44,2,Midwest
O00156,C0141,2025-06-13,Organic Social,79.04,1,West
O00157,C0093,2025-06-14,Organic Search,83.25,1,West
O00158,C0110,2025-06-14,Organic Search,269.18,3,Northeast
O00159,C0127,2025-06-14,Organic Search,192.40,2,South
O00160,C0157,2025-06-14,Paid Search,97.20,1,West
O00161,C0174,2025-06-14,Paid Search,314.28,3,Northeast
O00162,C0191,2025-06-14,Paid Search,224.64,2,South
O00163,C0221,2025-06-14,Direct,75.60,1,West
O00164,C0238,2025-06-14,Direct,244.44,3,Northeast
O00165,C0268,2025-06-14,Referral,308.88,3,Midwest
O00166,C0298,2025-06-14,Email,104.40,1,Northeast
O00167,C0008,2025-06-14,Organic Social,147.44,2,Midwest
O00168,C0025,2025-06-14,Organic Social,79.04,1,West
O00169,C0297,2025-06-15,Organic Search,83.25,1,West
O00170,C0314,2025-06-15,Organic Search,269.18,3,Northeast
O00171,C0011,2025-06-15,Organic Search,192.40,2,South
O00172,C0041,2025-06-15,Paid Search,97.20,1,West
O00173,C0058,2025-06-15,Paid Search,314.28,3,Northeast
O00174,C0075,2025-06-15,Paid Search,224.64,2,South
O00175,C0105,2025-06-15,Direct,75.60,1,West
O00176,C0122,2025-06-15,Direct,244.44,3,Northeast
O00177,C0152,2025-06-15,Referral,308.88,3,Midwest
O00178,C0182,2025-06-15,Email,104.40,1,Northeast
O00179,C0212,2025-06-15,Organic Social,147.44,2,Midwest
O00180,C0229,2025-06-15,Organic Social,79.04,1,West
