event_id,user_id,project_id,event_type,timestamp,session_id,platform,country,duration_secs
evt-001,usr-001,proj-001,login,2024-01-15T09:00:00Z,sess-001,web,USA,0
evt-002,usr-001,proj-001,file_upload,2024-01-15T09:05:32Z,sess-001,web,USA,45
evt-003,usr-001,proj-001,file_share,2024-01-15T09:08:15Z,sess-001,web,USA,12
evt-004,usr-001,proj-001,logout,2024-01-15T10:30:00Z,sess-001,web,USA,0
evt-005,usr-002,proj-003,login,2024-01-15T14:22:00Z,sess-002,desktop,Spain,0
evt-006,usr-002,proj-003,task_create,2024-01-15T14:25:18Z,sess-002,desktop,Spain,28
evt-007,usr-002,proj-003,comment_add,2024-01-15T14:32:45Z,sess-002,desktop,Spain,15
evt-008,usr-003,proj-001,login,2024-01-15T02:15:00Z,sess-003,web,China,0
evt-009,usr-003,proj-001,file_download,2024-01-15T02:18:30Z,sess-003,web,China,120
evt-010,usr-003,proj-002,login,2024-01-15T02:45:00Z,sess-004,web,China,0
evt-011,usr-003,proj-002,backup_create,2024-01-15T02:46:12Z,sess-004,web,China,180
evt-012,usr-004,proj-003,login,2024-01-15T11:00:00Z,sess-005,mobile,Germany,0
evt-013,usr-004,proj-003,task_complete,2024-01-15T11:05:22Z,sess-005,mobile,Germany,8
evt-014,usr-005,proj-001,login,2024-01-15T05:30:00Z,sess-006,web,India,0
evt-015,usr-005,proj-001,folder_create,2024-01-15T05:32:45Z,sess-006,web,India,5
evt-016,usr-006,proj-002,login,2024-01-15T09:45:00Z,sess-007,web,UK,0
evt-017,usr-006,proj-002,backup_restore,2024-01-15T09:50:18Z,sess-007,web,UK,240
evt-018,usr-007,proj-003,login,2024-01-15T16:00:00Z,sess-008,desktop,Brazil,0
evt-019,usr-007,proj-003,project_create,2024-01-15T16:02:30Z,sess-008,desktop,Brazil,22
evt-020,usr-007,proj-004,login,2024-01-15T16:30:00Z,sess-009,web,Brazil,0
evt-021,usr-007,proj-004,dashboard_view,2024-01-15T16:31:15Z,sess-009,web,Brazil,180
evt-022,usr-008,proj-001,login,2024-01-16T01:00:00Z,sess-010,web,Japan,0
evt-023,usr-008,proj-001,file_sync,2024-01-16T01:02:00Z,sess-010,web,Japan,300
evt-024,usr-008,proj-002,login,2024-01-16T01:15:00Z,sess-011,web,Japan,0
evt-025,usr-009,proj-001,login,2024-01-16T10:30:00Z,sess-012,desktop,Ireland,0
evt-026,usr-009,proj-001,file_upload,2024-01-16T10:35:20Z,sess-012,desktop,Ireland,65
evt-027,usr-010,proj-003,login,2024-01-16T08:00:00Z,sess-013,web,Russia,0
evt-028,usr-010,proj-003,integration_setup,2024-01-16T08:05:00Z,sess-013,web,Russia,420
evt-029,usr-011,proj-001,login,2024-01-16T07:15:00Z,sess-014,mobile,UAE,0
evt-030,usr-011,proj-001,file_view,2024-01-16T07:16:30Z,sess-014,mobile,UAE,90
evt-031,usr-012,proj-004,login,2024-01-16T15:00:00Z,sess-015,web,USA,0
evt-032,usr-012,proj-004,report_generate,2024-01-16T15:02:45Z,sess-015,web,USA,35
evt-033,usr-012,proj-004,report_export,2024-01-16T15:08:20Z,sess-015,web,USA,12
evt-034,usr-001,proj-002,login,2024-01-16T09:30:00Z,sess-016,web,USA,0
evt-035,usr-001,proj-002,backup_schedule,2024-01-16T09:32:15Z,sess-016,web,USA,25
evt-036,usr-002,proj-001,login,2024-01-16T14:00:00Z,sess-017,desktop,Spain,0
evt-037,usr-002,proj-001,file_upload,2024-01-16T14:03:40Z,sess-017,desktop,Spain,55
evt-038,usr-003,proj-004,login,2024-01-16T03:00:00Z,sess-018,web,China,0
evt-039,usr-003,proj-004,dashboard_create,2024-01-16T03:05:30Z,sess-018,web,China,120
evt-040,usr-005,proj-003,login,2024-01-16T06:00:00Z,sess-019,mobile,India,0
